"Gender","Education_Level","Marital_Status","Income_Category","Card_Category"
"M","High School","Married","$60K - $80K","Blue"
"F","Graduate","Single","Less than $40K","Blue"
"M","Graduate","Married","$80K - $120K","Blue"
"F","High School","Unknown","Less than $40K","Blue"
"M","Uneducated","Married","$60K - $80K","Blue"
"M","Graduate","Married","$40K - $60K","Blue"
"M","Unknown","Married","$120K +","Gold"
"M","High School","Unknown","$60K - $80K","Silver"
"M","Uneducated","Single","$60K - $80K","Blue"
"M","Graduate","Single","$80K - $120K","Blue"
"M","Uneducated","Unknown","$120K +","Blue"
